COMPRO_TIENDA,SEXO,EDAD,ESTADO_CIVIL,PROFESION
FALSO,M,27,Soltero,Profesional
FALSO,F,39,Casado,Otra
FALSO,F,39,Casado,Otra
FALSO,F,56,Desconocido,Hosteleria
FALSO,M,45,Casado,Jubilado
FALSO,M,45,Casado,Jubilado
FALSO,F,39,Casado,Otra
FALSO,F,49,Casado,Otra
FALSO,F,49,Casado,Otra
FALSO,M,47,Casado,Jubilado
FALSO,M,47,Casado,Jubilado
FALSO,M,21,Soltero,Retail
FALSO,F,66,Casado,Otra
FALSO,F,35,Casado,Profesional
FALSO,M,20,Soltero,Ventas
FALSO,M,20,Soltero,Ventas
FALSO,M,20,Soltero,Ventas
FALSO,F,37,Soltero,Otra
FALSO,M,42,Casado,Otra
VERDADERO,F,24,Casado,Retail
FALSO,F,24,Casado,Retail
FALSO,M,29,Soltero,Retail
FALSO,M,29,Soltero,Retail
VERDADERO,M,43,Casado,Comerciantes
FALSO,M,43,Casado,Comerciantes
VERDADERO,F,43,Desconocido,Hosteleria
FALSO,F,43,Desconocido,Hosteleria
FALSO,F,43,Desconocido,Hosteleria
VERDADERO,F,43,Desconocido,Hosteleria
FALSO,M,29,Soltero,Otra
FALSO,M,41,Casado,Profesional
FALSO,M,32,Casado,Otra
FALSO,M,34,Casado,Ventas
FALSO,F,18,Soltero,Estudiante
FALSO,F,31,Casado,Ejecutivo
VERDADERO,M,28,Soltero,Comerciantes
FALSO,F,24,Soltero,Estudiante
VERDADERO,F,29,Soltero,Otra
FALSO,F,29,Soltero,Otra
FALSO,F,68,Desconocido,Hosteleria
VERDADERO,M,42,Casado,Comerciantes
FALSO,M,42,Casado,Comerciantes
VERDADERO,F,33,Casado,Hosteleria
FALSO,F,33,Casado,Hosteleria
FALSO,F,33,Casado,Hosteleria
FALSO,F,54,Casado,Otra
FALSO,F,54,Casado,Otra
FALSO,F,54,Casado,Otra
FALSO,M,38,Casado,Ejecutivo
FALSO,M,38,Casado,Ejecutivo
FALSO,M,38,Casado,Ejecutivo
VERDADERO,M,24,Soltero,Otra
FALSO,F,24,Desconocido,Otra
FALSO,F,24,Desconocido,Otra
FALSO,F,20,Soltero,Retail
FALSO,F,20,Soltero,Retail
FALSO,F,29,Soltero,Profesional
FALSO,M,40,Casado,Otra
FALSO,F,49,Desconocido,Hosteleria
FALSO,F,26,Soltero,Otra
FALSO,F,51,Desconocido,Hosteleria
FALSO,M,29,Soltero,Profesional
FALSO,F,33,Casado,Ejecutivo
FALSO,M,47,Casado,Profesional
FALSO,F,38,Casado,Otra
FALSO,F,39,Casado,Ejecutivo
FALSO,M,29,Soltero,Profesional
FALSO,M,29,Soltero,Profesional
FALSO,F,33,Casado,Ejecutivo
FALSO,F,20,Soltero,Profesional
FALSO,M,31,Casado,Otra
FALSO,F,31,Soltero,Otra
FALSO,F,42,Casado,Otra
FALSO,F,42,Casado,Otra
FALSO,F,42,Casado,Otra
VERDADERO,M,21,Soltero,Comerciantes
FALSO,F,65,Casado,Otra
FALSO,F,65,Casado,Otra
FALSO,F,41,Desconocido,Hosteleria
FALSO,F,41,Desconocido,Hosteleria
FALSO,M,17,Soltero,Estudiante
FALSO,M,55,Casado,Comerciantes
FALSO,M,55,Casado,Comerciantes
FALSO,M,55,Casado,Comerciantes
FALSO,M,55,Casado,Comerciantes
FALSO,F,52,Casado,Ejecutivo
FALSO,M,35,Casado,Comerciantes
FALSO,F,34,Soltero,Retail
VERDADERO,M,25,Soltero,Otra
FALSO,M,25,Soltero,Otra
FALSO,M,25,Soltero,Otra
FALSO,F,18,Soltero,Retail
FALSO,F,19,Soltero,Otra
FALSO,M,36,Soltero,Profesional
FALSO,M,33,Casado,Profesional
VERDADERO,M,33,Casado,Ventas
FALSO,F,30,Soltero,Profesional
FALSO,F,29,Soltero,Otra
FALSO,F,29,Soltero,Otra
FALSO,M,21,Soltero,Ventas
FALSO,M,21,Soltero,Ventas
FALSO,F,44,Casado,Otra
FALSO,M,21,Soltero,Estudiante
FALSO,M,21,Soltero,Estudiante
FALSO,M,46,Casado,Comerciantes
FALSO,F,47,Casado,Ventas
FALSO,F,34,Soltero,Profesional
FALSO,F,24,Soltero,Profesional
FALSO,F,27,Soltero,Retail
FALSO,F,28,Soltero,Profesional
FALSO,M,26,Casado,Otra
FALSO,M,26,Casado,Otra
FALSO,M,29,Soltero,Profesional
FALSO,M,29,Soltero,Profesional
FALSO,M,29,Soltero,Profesional
FALSO,F,23,Soltero,Profesional
FALSO,M,27,Soltero,Otra
FALSO,F,26,Casado,Ejecutivo
FALSO,F,26,Casado,Ejecutivo
FALSO,F,20,Soltero,Otra
FALSO,M,26,Soltero,Otra
FALSO,M,33,Casado,Otra
FALSO,M,33,Casado,Otra
FALSO,F,19,Soltero,Otra
FALSO,F,19,Soltero,Otra
VERDADERO,F,26,Casado,Otra
FALSO,F,26,Casado,Otra
FALSO,F,40,Casado,Otra
FALSO,F,40,Casado,Otra
FALSO,F,40,Casado,Otra
FALSO,M,40,Soltero,Otra
FALSO,M,40,Soltero,Otra
VERDADERO,M,40,Soltero,Otra
FALSO,M,40,Soltero,Otra
